"country","variable","year","forecast","lo80","hi80","lo95","hi95","train_end_used","actual","error","abs_error"
"Slovenia","Defence",2021,1.04161530490737,0.858975205869507,1.22425540394523,0.7622913776685,1.32093923214624,2019,1.2,0.15838469509263,0.15838469509263
"Slovenia","Defence",2022,1.04555534615077,0.796420905337611,1.29468978696392,0.664537098871105,1.42657359343043,2019,1.2,0.154444653849233,0.154444653849233
"Slovenia","Defence",2023,1.04696028186604,0.737010280327549,1.35691028340454,0.572932660694648,1.52098790303744,2019,1.2,0.153039718133956,0.153039718133956
"Spain","Defence",2020,0.861606203513126,0.79217765231845,0.931034754707801,0.755424397412696,0.967788009613555,2019,0.9,0.0383937964868742,0.0383937964868742
"Spain","Defence",2021,0.848289507086678,0.778756574876597,0.917822439296759,0.741948063999048,0.954630950174308,2019,0.9,0.0517104929133222,0.0517104929133222
"Spain","Defence",2022,0.835002104543447,0.765254883224402,0.904749325862493,0.728332934544828,0.941671274542066,2019,1.1,0.264997895456553,0.264997895456553
"Spain","Defence",2023,0.821743931443158,0.751656498560274,0.891831364326042,0.714554452757651,0.928933410128665,2019,0.9,0.078256068556842,0.078256068556842
"Sweden","Defence",2020,1.20287449451945,1.03903918607582,1.36670980296309,0.952310012700045,1.45343897633886,2019,1.4,0.197125505480545,0.197125505480545
"Sweden","Defence",2021,1.20665225699462,0.992089745557647,1.42121476843159,0.878507213006303,1.53479730098294,2019,1.3,0.0933477430053804,0.0933477430053804
"Sweden","Defence",2022,1.20882217546177,0.932184087343731,1.4854602635798,0.785740729470197,1.63190362145334,2019,1.7,0.491177824538233,0.491177824538233
"Sweden","Defence",2023,1.2100685603748,0.871416066769213,1.54872105398039,0.692144265647284,1.72799285510232,2019,1.8,0.589931439625199,0.589931439625199
"Switzerland","Defence",2020,0.800261973648121,0.72879529085487,0.871728656441372,0.690963114253574,0.909560833042668,2019,0.9,0.099738026351879,0.099738026351879
"Switzerland","Defence",2021,0.800167338269567,0.688119709218006,0.912214967321127,0.628805277312747,0.971529399226386,2019,0.8,-0.000167338269566497,0.000167338269566497
"Switzerland","Defence",2022,0.800186631791404,0.664301604743777,0.93607165883903,0.592368416580983,1.00800484700182,2019,0.8,-0.000186631791403546,0.000186631791403546
"Switzerland","Defence",2023,0.800182698378862,0.643103794528182,0.957261602229543,0.559951245696321,1.0404141510614,2019,0.9,0.0998173016211379,0.0998173016211379
